subject_id,gender,height_cm,weight_kg
5a1e03cb9f17b800040cc77c,male,172.5,104.1
6JfuBS-duD_BLzV6gxsQjcPc7gv6mgQBTuNzdnp6gfA,female,159.0,87.2
6Xz1aGZP_g084xrBEy0UYJjzozZhj3G1wx_cFS9q-UM,female,163.0,81.45
hjG7-UJ-SuVAgiJ3WEgKdS2nc7fAwQ7iXJCP5oS9omg,female,169.0,84.2
Mrq4MhWptluvgMB-LCjGQl950hLNxVxQhBbzo--Il5E,male,180.0,94.6
7Grk1NNK3XYiCjt1lfobViSPIzrXCiOADVp7vvhCa_k,female,154.7,70.6
EA_ePbfS4QaBH-Goq7gIxT4wTt6OdOWHVXUMRurUSxQ,male,173.0,87.35
9T0rg9AnasRkTw_sUPRRI-9rcZNFxv71DT1dMqY8UGA,female,161.95,73.7
FLwFwR5T23HdtLz-oF94PDLDwiA_nRFAPzX_S2sfhqM,male,175.55,87.3
59bc2767681516389ccf45e6,male,173.0,84.6
FIIb7-8bRielrHf2Yyd4Ewsa2KkKE8SGWBdSJqNzRpY,male,174.0,84.2
6PTzEsHtIS7BmBGKDa9YNJNB__vpQwsxFrKi3EF_d2Q,female,177.9,50.7
1T9SoRhbCpQ0zXf4Le6WjwTOPdfnmEDebvWaECZg_HM,male,170.7,80.0
59bc2761681516389ccf438a,female,158.0,65.9
RiUtVC888GhxiPPvh_EVBY5JLaXi5qWWK94tkNVeHbY,female,168.05,72.2
59bc2761681516389ccf435d,male,184.9,88.75
6c5kXvps2J7p2W5vbM6bRw4exDRtp97Tv83Egk9jzqY,male,179.1,83.6
hxcg4D8WS1gANJ0diT0DL3bgOCwJB70sxMQ14rlbKVQ,male,182.6,85.8
59bc2769681516389ccf46e3,male,174.9,57.9
NUDNE9WoUBzxlMEe1LQa4gz-xUGpIFbXnDs2eW3NJhI,female,182.55,79.7
95mZGlSSMrgK7GkSX_xfx_jAMlgsojYhlbOIhxdGoVE,female,167.45,69.5
HC9keb0Y_wT4x2j4Bc4Ij0wPaCLz38ymDpqm142_UiQ,male,181.5,84.1
Ukvlhaesp0m8DIMdAx9QT2HPOrNbrOsz88AuMsOveXc,female,166.95,69.05
DF_TvDglB-jDlNiMHqrOyzMLB4dvQwkwFp_WEpXc5Yg,female,167.85,68.9
thfv460GhSp05FB-peSpPMszbaqWGijDJhyy_bx40sA,male,172.75,76.65
iQA_dPlcY3Q8dzvohahJMX2HDG83FzUr9y0WX054FmU,male,167.15,71.65
Cax6OW9AlHPd_6hLl6_uFfnwE8q7Egg8BjEolbgvVqo,male,180.45,81.35
IZ-j_GhGEb5TfReZc6gnNP-wrj-HzuULnZsrpr1chvg,male,188.9,86.75
