subject_id,gender,height_cm,weight_kg
ikt5hpg4u--nWYDSMAfZXOVZhhah-YtX7p6p7q8Hg6I,female,174.0,56.7
AcXtVN5DaisfM7J3T6N5F-ZePD30WawSdWJa-8IEPpA,male,186.0,93.6
6JWWSl4hJ08_707MzdBolsPOvdgW74O4q1U9WVUG4co,male,179.5,116.8
HaE2Jiu7OrRAJrWV2k6EHxguAzayIdgigQFgAO4lK_Y,male,171.5,70.9
aHeOj3t0BEox4aP4LnA_-f1WdN2R74ZTzLBTt-i5C8g,male,160.0,74.7
btOHuy9F574uufhlQE4b0KKjMzeZ5MVkUWK4XJstSfQ,male,178.0,71.7
oMdk3OxkzuvOn1WINMez5L4rfCmYscyZlkWoMw3Y8J8,female,160.0,62.5
O5SXSso26InqB8u8nVz1HqKx_QfzDDR4OKZGAXYO878,female,154.8,77.4
o0zjtk8Whbm9Pf77k6cVPACb4bL6zCwFw0Byny04B-Y,female,155.1,50.1
OvyEaZuMCNilPx5t1XZqZZLSW-86CWI51q7cDZFHqCk,female,161.5,81.3
4QBR34Xt4joslUTlYKpR0cRqjd3xWW4r3-BQBDxTTzo,female,170.0,76.0
YIo9tBpN-5zvDMu_wB9S-wsjLnXi8iX2PrvTV67S0TQ,female,155.1,73.8
5pSIIWpKbkRc51xX68ZYZFe1n1nViHZm_2Cep8keaow,female,151.0,44.7
nS0ry-XYHsv_vUuNHsEGzWkFaLfV_-D4qcauFyU5e5E,male,176.0,61.7
w1-o7ZTIxV1_Ny-2JD9HhO1vMWfa1rDq7m4tMKBb6is,female,168.5,72.8
59bc275b681516389ccf413e,female,162.0,106.4
TOtQ_v8BNfJOWAO-S2m9Stbi7-LlLuQbNFo42V_NBMM,male,179.5,66.4
bKMYnsiSZuBYnupiy-iq6fB5nk2xewgNBHEyINemHbk,male,179.5,73.1
SuHT4VFjz3c-u5kPENTxcyiiIfbmuY54LLExUy_fGm4,female,159.2,59.8
VvD4Ax4aSvkvxGqw-87OJhQBUwh1M8gRJ9hrT30tdig,female,162.0,68.0
Qoex7Nn4NUcDKndMUpAxaK3YZp3Ld53G5rXWai6ogBQ,female,162.0,48.8
vwclMeCf6yVTZohEHBar99joiWwKKky7-8CN5dqG86E,female,166.5,59.1
